X;Y;FECHA;DIRECCION;DIRECCION_NORMALIZADA;M2TOTAL;PRECIOARS;PRECIOARSM;PRECIOUSD;PRECIOUSDM;CAMBIO;AMBIENTES;DORMITORIO;BAÑOS;URL;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.48895351745063;-34.602750362454415;07/02/2018;NAZCA 2900;NAZCA AV. 2900;282;9379800;34460;486000;1723;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43062462.HTML;VILLA DEL PARQUE;COMUNA 11;1417;C1417CUR
-58.49343829509583;-34.60383406503136;09/02/2018;CUENCA Y NOGOYA;CUENCA Y NOGOYA;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073625.HTML;VILLA DEL PARQUE;COMUNA 11;;
-58.424447202216236;-34.610137233154326;01/02/2018;BARTOLOME MITRE 4100;MITRE, BARTOLOME 4100;235;30880000;45278;1600000;2346;0.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43040179.HTML;ALMAGRO;COMUNA 05;1201;C1201AAZ
-58.416445753075024;-34.62087459514739;01/02/2018;AV BOEDO 700;BOEDO AV. 700;503;9592100;19068;497000;988;0.00;0;0;4;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43051969.HTML;ALMAGRO;COMUNA 05;1218;C1218AAP
-58.41906120191299;-34.600404118057845;06/02/2018;JERONIMO SALGUERO 835;SALGUERO, JERONIMO 835;31;2299826;76860;119162;3843;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43065855.HTML;ALMAGRO;COMUNA 05;1177;C1177AEO
-58.42479776844905;-34.613218996542756;06/02/2018;RIVADAVIA 4200;RIVADAVIA AV. 4200;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066665.HTML;ALMAGRO;COMUNA 05;1205;C1205AAO
-58.42550038222974;-34.60280369607025;06/02/2018;CORRIENTES 4300;CORRIENTES AV. 4300;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066803.HTML;ALMAGRO;COMUNA 05;1195;C1195AAO
-58.42034169450558;-34.59891438983772;08/02/2018;MEDRANO Y LAVALLE;MEDRANO AV. Y LAVALLE;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43069031.HTML;ALMAGRO;COMUNA 05;;
-58.421191607615135;-34.604886695826714;08/02/2018;MEDRANO Y SARMIENTO;MEDRANO AV. Y SARMIENTO;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43072584.HTML;ALMAGRO;COMUNA 05;;
-58.412704115461395;-34.61652993359365;20/02/2018;LORIA 600;SANCHEZ DE LORIA 600;617;13510000;22680;700000;1134;20.00;5;5;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43092242.HTML;BALVANERA;COMUNA 03;1173;C1173ACL
-58.414655315485355;-34.613072769867976;21/02/2018;HIPOLITO YRIGOYEN 3400;YRIGOYEN, HIPOLITO AV. 3400;188;6176000;34040;320000;1702;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43096973.HTML;ALMAGRO;COMUNA 05;1208;C1208ABN
-58.41979100479393;-34.615908998976046;22/02/2018;AV. BELGRANO 3800;BELGRANO AV. 3800;356;7334000;22740;380000;1137;20.00;0;0;3;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43101415.HTML;ALMAGRO;COMUNA 05;1210;C1210AAS
-58.421322073218256;-34.610138605791825;25/02/2018;MEDRANO 100;MEDRANO AV. 100;24;1833500;79160;95000;3958;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43107064.HTML;ALMAGRO;COMUNA 05;1178;C1178ABB
-58.4244486916689;-34.60489573743816;26/02/2018;GASCON 580;GASCON 580;189;11580000;139520;600000;6976;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43109584.HTML;ALMAGRO;COMUNA 05;1181;C1181ACJ
-58.43187186341855;-34.616349676260214;08/02/2018;RIVADAVIA 4700;RIVADAVIA AV. 4700;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43072595.HTML;CABALLITO;COMUNA 06;1424;C1424CEO
-58.45268011466062;-34.61994003830362;13/02/2018;AVELLANEDA 1500;AVELLANEDA AV. 1500;600;13510000;23320;700000;1166;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43079046.HTML;CABALLITO;COMUNA 06;1405;C1405COO
-58.42904639805136;-34.60721799066234;15/02/2018;POTOSI 4400;POTOSI 4400;60;2605500;45000;135000;2250;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43084252.HTML;ALMAGRO;COMUNA 05;1199;C1199ACN
-58.428994072249054;-34.622343410062975;20/02/2018;AV. JUAN BAUTISTA ALBERDI 100;ALBERDI, JUAN BAUTISTA AV. 100;120;4439000;38340;230000;1917;2;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43092084.HTML;CABALLITO;COMUNA 06;1424;C1424BYN
-58.437630685189056;-34.623286075080586;22/02/2018;ALBERDI  JUAN B. AV. 700;ALBERDI, JUAN BAUTISTA AV. 700;45;2605500;72960;135000;3648;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43099645.HTML;CABALLITO;COMUNA 06;1424;C1424BYT
-58.48062973727451;-34.61255908132492;07/02/2018;AV. NAZCA 1900;NAZCA AV. 1900;550;11869500;22360;615000;1118;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43058504.HTML;VILLA SANTA RITA;COMUNA 11;1416;C1416ASU
-58.45841710952357;-34.63401243362443;02/02/2018;FRANCISCO BILBAO 2300;BILBAO, FRANCISCO 2300;22;1003600;45606;52000;2363;0.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-42986085.HTML;FLORES;COMUNA 07;1406;C1406FFT
-58.462574696937125;-34.62889024209025;06/02/2018;RIVADAVIA 6900;RIVADAVIA AV. 6900;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066692.HTML;FLORES;COMUNA 07;1406;C1406GLY
-58.4640916857644;-34.62924063337214;09/02/2018;RIVADAVIA 7000;RIVADAVIA AV. 7000;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073356.HTML;FLORES;COMUNA 07;1406;C1406GLZ
-58.46064180760314;-34.62950140982433;13/02/2018;MEMBRILLAR 100;MEMBRILLAR 100;34;2798500;85280;145000;4264;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43079456.HTML;FLORES;COMUNA 07;1406;C1406DPB
-58.461068006597856;-34.62845212269021;15/02/2018;AVENIDA RIVADAVIA 6800;RIVADAVIA AV. 6800;37;1524700;42700;79000;2135;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43082748.HTML;FLORES;COMUNA 07;1406;C1406GLX
-58.46044741790734;-34.62142025816427;22/02/2018;BOYACA 500;BOYACA AV. 500;18;3088000;177760;160000;8888;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43100930.HTML;FLORES;COMUNA 07;1406;C1406BHH
-58.482042096796555;-34.63316063979799;08/02/2018;CHIVILCOY 70;CHIVILCOY 70;60;1737000;30000;90000;1500;20.00;1;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43071253.HTML;FLORESTA;COMUNA 10;1407;C1407ADB
-58.48777805909028;-34.625138130868045;23/02/2018;MERCEDES 995;MERCEDES 995;293;6948000;27900;360000;1395;20.00;3;2;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43104451.HTML;FLORESTA;COMUNA 10;1407;C1407AHQ
-58.375432433702066;-34.6234148056948;02/02/2018;COCHABAMBA 700;COCHABAMBA 700;620;17370000;28004;900000;1451;0.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-42984926.HTML;SAN TELMO;COMUNA 01;1150;C1150AAJ
-58.377126021626985;-34.62091051202678;08/02/2018;HUMBERTO PRIMO 800;HUMBERTO 1° 800;242;6176000;26440;320000;1322;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43070361.HTML;SAN TELMO;COMUNA 01;1103;C1103ACP
-58.38440020127549;-34.62347113428475;25/02/2018;SANTIAGO DEL ESTERO 1300;SANTIAGO DEL ESTERO 1300;33;868500;27280;45000;1364;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43098634.HTML;CONSTITUCION;COMUNA 01;1136;C1136ABB
-58.37895119465382;-34.62596706728545;22/02/2018;BERNARDO DE IRIGOYEN 1500;IRIGOYEN, BERNARDO DE 1500;285;8685000;31560;450000;1578;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43099438.HTML;CONSTITUCION;COMUNA 01;1138;C1138ABF
-58.391532762234235;-34.620123969002414;17/02/2018;ENTRE RIOS 1000;ENTRE RIOS AV. 1000;50;965000;20000;50000;1000;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073262.HTML;CONSTITUCION;COMUNA 01;1080;C1080ABQ
-58.40301995304219;-34.62547118614771;10/02/2018;COCHABAMBA  2700;COCHABAMBA 2700;30;1351000;46660;70000;2333;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43075851.HTML;SAN CRISTOBAL;COMUNA 03;1252;C1252AAR
-58.415975887098156;-34.6254969284214;07/02/2018;AV. SAN JUAN 3600;SAN JUAN AV. 3600;25;579000;24000;30000;1200;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43058500.HTML;BOEDO;COMUNA 05;1233;C1233ABS
;;20/02/2018;LOTE - AVDA.CASEROS OPORTUNIDAD 10;;370;20805400;58280;1078000;2914;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43092221.HTML;;;;
-58.50021950150522;-34.6308332203912;01/02/2018;CALDERON  800;CALDERON DE LA BARCA, PEDRO 800;180;4246000;24440;220000;1222;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43055076.HTML;VELEZ SARSFIELD;COMUNA 10;1407;C1407KPP
-58.48591772386711;-34.64049879503809;26/02/2018;ALBERDI 4300;ALBERDI, JUAN BAUTISTA AV. 4300;150;4825000;33320;250000;1666;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43069179.HTML;PARQUE AVELLANEDA;COMUNA 09;1407;C1407GZW
-58.39593935992767;-34.63536254368136;20/02/2018;AV CASEROS 2400;CASEROS AV. 2400;78;4632000;61540;240000;3077;20.00;1;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43092892.HTML;PARQUE PATRICIOS;COMUNA 04;1264;C1264AAQ
-58.50248704292706;-34.648329471876;06/02/2018;POLA 1047;POLA 1047;650;6948000;13280;360000;664;20.00;7;5;7;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43064384.HTML;MATADEROS;COMUNA 09;1440;C1440DAG
;;08/02/2018;CARLOS CALVO;;93;4226700;47080;219000;2354;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43070678.HTML;;;;
-58.371311852978785;-34.62167457953373;20/02/2018;DEFENSA 1200;DEFENSA 1200;190;5597000;30520;290000;1526;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43093993.HTML;SAN TELMO;COMUNA 01;1065;C1065AAV
-58.36678247966758;-34.62328727658905;21/02/2018;AZOPARDO 1337;AZOPARDO 1337;118;12971179;109925;672081;5696;0.00;1;1;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43098039.HTML;SAN TELMO;COMUNA 01;1107;C1107ADW
-58.36678247966758;-34.62328727658905;21/02/2018;AZOPARDO 1337;AZOPARDO 1337;84;9201972;109547;476786;5676;0.00;1;1;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43098040.HTML;SAN TELMO;COMUNA 01;1107;C1107ADW
-58.36988848663625;-34.61714505740168;27/02/2018;BALCARCE 800;BALCARCE 800;100;3860000;40000;200000;2000;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43113200.HTML;SAN TELMO;COMUNA 01;1064;C1064AAP
-58.48243451649269;-34.5585085050923;01/02/2018;TRONADOR 3500;TRONADOR 3500;19;772000;40627;40000;2105;0.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43048439.HTML;COGHLAN;COMUNA 12;1430;C1430DML
-58.47385272370097;-34.541671517292876;01/02/2018;CABILDO 4700;CABILDO AV. 4700;235;8492000;36130;440000;1872;0.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43048591.HTML;SAAVEDRA;COMUNA 12;1429;C1429ABR
-58.49499469707818;-34.55330567496954;02/02/2018;MILLER 4500;MILLER 4500;63;2509000;44820;130000;2241;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43056591.HTML;SAAVEDRA;COMUNA 12;1430;C1430EAF
-58.47502097874455;-34.540088194683214;27/02/2018;CABILDO 4900  ENTRE GRAL PAZ Y VEDIA;CABILDO AV. 4900;53;4825000;94320;250000;4716;20.00;2;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43114749.HTML;SAAVEDRA;COMUNA 12;1429;C1429ABT
;;16/02/2018;MONROE;;8;386000;50000;20000;2500;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43086233.HTML;;;;
-58.484419574348664;-34.564158986207865;03/02/2018;MARIANO ACHA 3200;ACHA, MARIANO, GRAL. 3200;46;2605500;66797;135000;3461;0.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-42989539.HTML;VILLA URQUIZA;COMUNA 12;1430;C1430DVL
-58.49501352762937;-34.57582110141868;06/02/2018;CERETTI 2700;CERETTI 2700;36;2123000;61100;110000;3055;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43064859.HTML;VILLA URQUIZA;COMUNA 12;1431;C1431ELF
-58.48429165270498;-34.57557828583477;06/02/2018;TRIUNVIRATO Y OLAZABAL;TRIUNVIRATO AV. Y OLAZABAL AV.;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066913.HTML;VILLA URQUIZA;COMUNA 12;;
;;07/02/2018;CULLEN;;25;1447500;60000;75000;3000;20.00;1;1;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43068896.HTML;;;;
-58.47767060463419;-34.56632567239469;08/02/2018;DR.PEDRO DE RIVERA 4080;RIVERA, PEDRO I., DR. 4080;54;1891400;36280;98000;1814;20.00;1;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43071144.HTML;VILLA URQUIZA;COMUNA 12;1430;C1430BFD
-58.48638470490762;-34.574317056993806;09/02/2018;TRIUNVIRATO Y MONROE;TRIUNVIRATO AV. Y MONROE;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073640.HTML;VILLA URQUIZA;COMUNA 12;;
-58.47347280738158;-34.57477634312854;14/02/2018;DONADO 1900 LOCAL B;DONADO 1900;84;13124000;247260;680000;12363;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43081572.HTML;VILLA URQUIZA;COMUNA 12;1430;C1430DRJ
-58.49551385535379;-34.574965195651515;24/02/2018;NAHUEL HUAPI 5700;NAHUEL HUAPI 5700;40;2258100;58500;117000;2925;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43105260.HTML;VILLA URQUIZA;COMUNA 12;1431;C1431BTX
