LON;LAT;FECHA;CALLE;NUMERO;M2;DOLARES;PESOS;U_S_M2;Z_M2;BARRIOS;COMUNA
-58.486052883034596;-34.650049409998893;2012/12/17;REMEDIOS;4700;142.0;130000;;915.5;0.0;PARQUE AVELLANEDA;9
-58.48888683647391;-34.652439040992498;2012/12/17;REMEDIOS;5000;172.0;144000;;837.2;0.0;MATADEROS;9
-58.506206108477954;-34.623235679297807;2012/12/14;RENQUE CURA;1700;188.0;188000;;1000.0;0.0;MONTE CASTRO;10
-58.456787514435668;-34.600016515882608;2012/12/17;REPETTO, NICOLAS, DR.;0;325.0;750000;;2307.7;0.0;VILLA CRESPO;15
-58.44309031668233;-34.621030750428453;2012/12/07;REPETTO, NICOLAS, DR.;10;325.0;750000;;2307.7;0.0;CABALLITO;6
-58.443466639017473;-34.619968476529941;2012/12/14;REPETTO, NICOLAS, DR.;100;325.0;750000;;2307.7;0.0;CABALLITO;6
-58.449019938509821;-34.608945311573521;2012/12/14;REPETTO, NICOLAS, DR.;1100;439.0;440000;;1002.3;0.0;CABALLITO;6
-58.449589860728238;-34.608183727983622;2012/12/11;REPETTO, NICOLAS, DR.;1200;1020.0;1450000;;1421.6;0.0;CABALLITO;6
-58.454880463268118;-34.602025736815364;2012/12/10;REPETTO, NICOLAS, DR.;2000;160.0;220000;;1375.0;0.0;VILLA CRESPO;15
-58.433310117336781;-34.569467495926368;2012/12/11;REPUBLICA DE ESLOVENIA;1800;480.0;0;7200000;3067.5;15000.0;PALERMO;14
-58.430657788348576;-34.615937828593694;2012/12/07;REPUBLICA DE INDONESIA;10;171.0;550000;;3216.4;0.0;CABALLITO;6
-58.430196060957101;-34.617229465822149;2012/12/10;REPUBLICA DE INDONESIA;100;171.0;550000;;3216.4;0.0;CABALLITO;6
-58.436113808239746;-34.6231497082141;2012/12/10;RIGLOS;400;234.0;0;1800000;1573.1;7692.3;CABALLITO;6
-58.394020334524072;-34.604480111826547;2012/12/10;RIOBAMBA;400;315.0;0;3600000;2337.1;11428.6;BALVANERA;3
-58.381948962105426;-34.608594948818109;2012/12/13;RIVADAVIA;1100;439.0;440000;;1002.3;0.0;MONSERRAT;1
-58.387621774378545;-34.608800543238559;2012/12/17;RIVADAVIA;1500;462.0;2500000;;5411.3;0.0;SAN NICOLAS;1
-58.42347599017571;-34.612706648704098;2012/12/04;RIVADAVIA;4100;300.0;1200000;;4000.0;0.0;ALMAGRO;5
-58.47667547307055;-34.632707012932116;2012/12/10;RIVADAVIA;8000;280.0;690000;;2464.3;0.0;FLORESTA;10
-58.47885753000584;-34.633234485116922;2012/12/10;RIVADAVIA;8200;420.0;720000;;1714.3;0.0;FLORESTA;10
-58.484793763795075;-34.634669209098703;2012/12/10;RIVADAVIA;8600;504.0;0;4000000;1623.0;7936.5;VELEZ SARSFIELD;10
-58.487578806266697;-34.635342174931509;2012/12/10;RIVADAVIA;8800;280.0;550000;;1964.3;0.0;VELEZ SARSFIELD;10
-58.489335495071494;-34.635766646336968;2012/12/13;RIVADAVIA;8900;270.0;650000;;2407.4;0.0;VELEZ SARSFIELD;10
-58.493609664370069;-34.63675242829747;2012/12/17;RIVADAVIA;9200;1000.0;590000;;590.0;0.0;VILLA LURO;10
-58.51001298056223;-34.63925071751126;2012/12/10;RIVADAVIA;10400;785.4;1050000;;1336.9;0.0;VILLA LURO;10
-58.511344012996759;-34.639475739917721;2012/12/13;RIVADAVIA;10500;387.0;430000;;1111.1;0.0;LINIERS;9
-58.512959832658026;-34.63943329622051;2012/12/11;RIVADAVIA;10600;731.0;1800000;;2462.4;0.0;LINIERS;9
-58.482700926460851;-34.599437146387899;2012/12/04;RIVAS;2400;480.0;680000;;1416.7;0.0;VILLA DEL PARQUE;11
-58.482344139809086;-34.598611188540943;2012/12/13;RIVAS, Gral.;2300;173.0;240000;;1387.3;0.0;VILLA DEL PARQUE;11
-58.482700926460851;-34.599437146387899;2012/12/13;RIVAS, Gral.;2400;525.0;660000;;1257.1;0.0;VILLA DEL PARQUE;11
-58.461104627622142;-34.63233351985474;2012/12/07;RIVERA INDARTE;300;227.0;0;1984000;1787.3;8740.1;FLORES;7
-58.432045246744771;-34.658165172249952;2012/12/17;RIVERA INDARTE;3200;252.0;70000;;277.8;0.0;VILLA SOLDATI;8
-58.493837365783925;-34.575231723769328;2012/12/13;RIVERA, PEDRO I., Dr.;5600;1740.0;1800000;;1034.5;0.0;VILLA URQUIZA;12
-58.496424934604818;-34.576646311907631;2012/12/13;RIVERA, PEDRO I., Dr.;5800;224.0;420000;;1875.0;0.0;VILLA URQUIZA;12
-58.362601842957204;-34.640945655130196;2012/12/17;ROCHA;900;263.0;350000;;1330.8;0.0;BOCA;4
-58.479588582471109;-34.639825802728609;2012/12/14;RODO, JOSE E.;3900;320.0;280000;;875.0;0.0;PARQUE AVELLANEDA;9
-58.390830772418653;-34.607956075138311;2012/12/04;RODRIGUEZ PENA;100;308.0;690000;;2240.3;0.0;SAN NICOLAS;1
-58.392215156934839;-34.594958814213705;2012/12/07;RODRIGUEZ PENA;1200;104.0;350000;;3365.4;0.0;RECOLETA;2
-58.458219755193966;-34.5984425430022;2012/12/14;RODRIGUEZ, MANUEL A., GRAL;2400;175.0;220000;;1257.1;0.0;PATERNAL;15
-58.459683105900154;-34.59813112164548;2012/12/14;RODRIGUEZ, MANUEL A., GRAL;2500;372.0;180000;;483.9;0.0;PATERNAL;15
-58.442929486535917;-34.617379795522297;2012/12/14;ROJAS;300;332.0;390000;;1174.7;0.0;CABALLITO;6
-58.452390886394113;-34.601811348425713;2012/12/07;ROJAS;1800;120.0;240000;;2000.0;0.0;VILLA CRESPO;15
-58.411881258984081;-34.637201879579706;2012/12/10;RONDEAU;3400;2182.0;1600000;;733.3;0.0;BOEDO;5
